name,builtin_url,sectors,location,employees,description,hub
Triptease,https://builtin.com/company/triptease,Software • Hospitality,"New York, New York, USA",110 Employees,"Triptease is a SaaS startup building software to help the hotel industry increase their direct bookings. Our offices are in London, New York, Barcelona and Singapore. Attract and convert high-value guests on your hotel website with the award-winning direct booking platform.",atlanta
Lendesk,https://builtin.com/company/lendesk,Fintech • Software • Financial Services,"Vancouver, British Columbia, CAN",65 Employees,"Lendesk is a Canadian technology company modernizing the mortgage industry with solutions trusted by brokers, financial institutions, and industry partners alike. Our flagship products, Finmo and Lender Spotlight, are widely recognized for simplifying mortgage origination and workflows. Guided by our mission to help people feel confident in their mortgage decisions and deliver seamless experiences, we build tools that simplify complexity...",atlanta
DEX Labs,https://builtin.com/company/dex-labs,Information Technology • Internet of Things,"Fully Remote, USA",8 Employees,DEX Labs builds cutting-edge software solutions for the world of decentralized finance,atlanta
Wayflyer,https://builtin.com/company/wayflyer,eCommerce,3 Offices,300 Employees,"Providing eCommerce businesses with fairer, faster, and more flexible funding. Our mission at Wayflyer is to support the ambition of the eCommerce businesses we work with. We do this by solving the toughest problems in eCommerce, giving founders the power to pursue their ambition and achieve their big goals. We started by tackling the single biggest problem in eCommerce; working capital....",atlanta
HireVue,https://builtin.com/company/hirevue,Artificial Intelligence • HR Tech • Software,"South Jordan, Utah, USA",394 Employees,"HireVue is where hiring happens - transforming the way organizations discover, engage, and hire the best talent. Connecting companies and candidates anytime, anywhere, HireVue's industry leading end-to-end hiring platform features video interviewing, assessments and conversational AI. HireVue has hosted more than 18 million video interviews and 114M chat-based candidate engagements for over 700 customers around the globe.",atlanta
Nacre Capital,https://builtin.com/company/nacre-capital,Artificial Intelligence • Software,31 Employees,,"Nacre Capital is a global venture builder specialized in creating, building and growing disruptive start-ups with deep technologies that significantly impact lives. We are an international team of entrepreneurs, business leaders and experts including – pioneering scientists, renowned technologists, researchers, growth experts and thought leaders – that together develop and transform ventures into world-class disruptive market-leading companies. We bring onboard the best...",atlanta
Fleet Farm,https://builtin.com/company/fleet-farm,Retail,"Appleton, Wisconsin, USA","2,217 Employees","Fleet Farm is a growing company and we are always on the lookout for talented Team Members. Fleet Farm is a value-based retailer of lifestyle merchandise that has been proudly serving farm, ranch and suburban customers in the Upper Midwest since 1955. Our stores offer a wide assortment of goods anchored by five key categories: farm/pet supplies, hunting/fishing products, auto parts,...",atlanta
Lendmark Financial Services,https://builtin.com/company/lendmark-financial-services,Financial Services,"Lawrenceville, Georgia, USA",991 Employees,"Lendmark Financial Services is a community-based consumer finance company that specializes in providing direct and indirect personal loans, automobile loans, debt consolidation loans, and merchant retail sales financing services. Lendmark has 500+ branch locations in 19 states. Our hybrid branch plus online digital experience allows us to offer the best personalized service to help meet your financial needs for planned...",atlanta
Onehouse,https://builtin.com/company/onehouse,Artificial Intelligence • Cloud • Software,"Menlo Park, California, USA",54 Employees,"Onehouse delivers a universal data lakehouse through a cloud-native managed lakehouse service built on Apache Hudi, which was created by the founding team while they were at Uber. Onehouse makes it possible to blend the ease of use of a warehouse with the scale of a data lake, by offering a seamless experience for engineers to get their data lakes...",atlanta
Rounds,https://builtin.com/company/rounds-1,Information Technology • Internet of Things,"Tel Aviv-Yafo, Mahoz Tel Aviv, ISR",108 Employees,"We are rounds.com, a transformative technology for turning mobile assets into businesses. We believe in harnessing the power of cutting-edge technology to drive business success. Our transformative, machine-learning technology identifies and optimizes mobile assets, while our team of experts, with their unparalleled human capital and business acumen, provides the strategic direction and support to turn mobile assets into profitable businesses....",atlanta
Capital Bank,https://builtin.com/company/capital-bank,Fintech • Software • Financial Services,5 Offices,376 Employees,"Capital Bank N.A., headquartered in Rockville, Maryland is a Maryland chartered commercial bank that offers commercial and consumer banking services to clients in the Washington D.C. metropolitan area, alongside two nation-wide lending brands; Capital Bank Home Loans, a mortgage division that lends in all 50 states, and OpenSky a credit card division that offers and services credit cards across all...",atlanta
TheIncLab,https://builtin.com/company/theinclab,Artificial Intelligence • Software • Design,3 Offices,63 Employees,"TheIncLab engineers and delivers intelligent digital applications that have a profound and positive impact on the lives of our customers, our people, and the free world depending on both of us. Founded in 2015 as the first human-centered artificial intelligence (AI+X) lab, TheIncLab’s multi-disciplinary teams engineer solutions focused on our customers and their most complex challenges. We create transformational concepts, products...",atlanta
Govcio LLC,https://builtin.com/company/govcio-llc,Software • Consulting • Cybersecurity,"Fairfax, Virginia, USA","2,481 Employees","GovCIO was founded with a single purpose- to transform government IT. We help government work better. Using a holistic perspective, Agile methods, and latest advancements in IT, GovCIO addresses the most pressing challenges facing government organizations today. Our teams, comprising industry, military, and government veterans, deliver high value IT solutions and services that optimize how our government customers operate. This allows them...",atlanta
Intermountain Healthcare,https://builtin.com/company/intermountain-healthcare,Healthtech,2 Offices,"19,912 Employees","Intermountain Healthcare is a not-for-profit system of hospitals, surgery centers, doctors, and clinics that serves the medical needs of Utah, Idaho, Nevada, Colorado, Montana, and Kansas. Key medical services include cancer, heart, women and newborns, orthopedics, sports medicine, and more.",atlanta
Everstream Analytics,https://builtin.com/company/everstream-analytics,Artificial Intelligence • Big Data • Logistics • Machine Learning,2 Offices,170 Employees,"Everstream Analytics sets the global supply chain standard. Through the application of artificial intelligence and predictive analytics to its vast proprietary dataset, Everstream delivers the predictive insights and risk analytics businesses need for a smarter, more autonomous and sustainable supply chain. Everstream’s proven solution integrates with procurement, logistics and business continuity platforms generating the complete information, sharper analysis, and accurate...",atlanta
Falcon Rappaport & Berkman LLP,https://builtin.com/company/falcon-rappaport-berkman-llp,Legal Tech,"Rockville Centre, New York, USA",79 Employees,"Falcon Rappaport & Berkman LLP (FRB) is a full-service business law firm that combines the deep knowledge and understanding of attorneys who proudly advise clients seeking solutions to their most complex matters.   At FRB, we have the audacity to go above and beyond. Every matter begins with a clear focus on our client’s goals. By incorporating the bigger picture of...",atlanta
Realeyes - Vision AI,https://builtin.com/company/realeyes-attention-measurement,Artificial Intelligence • Information Technology,6 Offices,76 Employees,"Realeyes is the only fully Responsible AI for computer vision. We use webcams to understand identity, attention and emotions of users who opt-in to make their every digital experience better. It takes only 2-lines of code to integrate, and we are the only tech that can run it privacy-safe on-device without high battery drain. Our 200+ customers are top enterprises,...",atlanta
WithCoverage,https://builtin.com/company/withcoverage,Insurance,"New York, New York, USA",68 Employees,"The insurance brokerage industry is ready for a new standard: ambitious businesses often overpay for insurance, are inadequately protected, and are left with a non-transparent, disorganized experience. Most businesses don’t have an in-house Risk Management Team. That’s where we come in. WithCoverage provides ambitious businesses with a Modern Risk Management Solution. An expert team and powerful technology – designed to protect...",atlanta
Dotmatics,https://builtin.com/company/dotmatics,Software,"San Diego, California, USA",416 Employees,"Dotmatics is the global leader in R&D scientific software that connects science, data, and decision-making. Combining a workflow and data platform with best-of-breed applications, we offer the first true end-to-end solutions for biology, chemistry, formulations, data management, flow cytometry, and more. Trusted by more than 2 million researchers from the world’s leading biopharma, chemicals and materials enterprises, and academic institutions,...",atlanta
Tekion,https://builtin.com/company/tekion,Artificial Intelligence • Cloud • Machine Learning • Retail • Software,3 Offices,"1,858 Employees","At Tekion, we believe that business applications don’t have to be boring. In fact, they should be simple, fun and cool! They should be as delightful to use as your favorite social or consumer application, yet powerful enough to seamlessly and efficiently run global businesses that provide unparalleled consumer experience without compromise. Founded by visionary entrepreneur and innovator Jay Vijayan,...",atlanta
"Zillion Technologies, Inc.",https://builtin.com/company/zillion-technologies-inc,eCommerce • Information Technology • Consulting,"Ashburn, Virginia, USA",313 Employees,"Zillion Technologies, Inc. (Zillion) provides global expertise in innovative technology, services, and consulting that helps our clients to reach beyond what they think is possible. Since its inception in 2002, Zillion has become one of the fastest-growing companies in the Washington DC metro region. It is a leading provider of contemporary and reliable IT solutions backed by proficient and highly-professional...",atlanta
FARFETCH,https://builtin.com/company/farfetch,eCommerce • Fashion • Retail,4 Offices,"5,294 Employees","FARFETCH is the leading global platform for the luxury fashion industry. Our mission is to be the global platform for luxury fashion, connecting creators, curators and consumers. Founded in 2007 by José Neves for the love of fashion, and launched in 2008, FARFETCH began as an e-commerce marketplace for luxury boutiques around the world. Today the FARFETCH Marketplace connects customers...",atlanta
Stampli,https://builtin.com/company/stampli,Automation,"Mountain View, California, USA",500 Employees,"Stampli is for accounts payable teams that want the efficiency of automation but don’t want to rework their ERP or change their existing AP processes. Unlike other solutions, Stampli provides full support for the full range of native functionality for more than 70 ERPs - enabling us to deploy in a matter of days, not months, with no disruption to...",atlanta
FINRA,https://builtin.com/company/finra,Financial Services,18 Offices,"5,123 Employees","FINRA is dedicated to investor protection and market integrity. Our team of highly trained professionals are passionate about protecting investors and ensuring financial markets remain fair by writing and enforcing the critical rules and regulations that govern more than 3,700 firms and 630,000 brokers across the country. Our ultimate goal is to foster robust, but fair and orderly, markets in...",atlanta
Unlimited Industries,https://builtin.com/company/unlimited-industries,Artificial Intelligence • Software • Design,"San Francisco, California, USA",12 Employees,"Unlimited is an AI-native engineering and construction company. We're here to fix the 50-year decline in our ability to build critical infrastructure: power plants, factories, data centers, and the like. We envision a future of unprecedented abundance - where energy is limitless, the built world assembles itself, and our physical environment constantly inspires us to reach for more. This will...",atlanta
LandDesign,https://builtin.com/company/landdesign,Design,"Charlotte, North Carolina, USA",333 Employees,"LandDesign is an award-winning design firm offering urban design, planning, civil engineering and landscape architecture solutions to public, private and federal sector clients across the globe. With offices across the United States, the LandDesign team effectively brings innovative, buildable, sustainable and ecologically responsible projects to life worldwide. We believe in creating places that matter.",atlanta
Cambly,https://builtin.com/company/cambly,Natural Language Processing,"San Francisco, California, USA","1,608 Employees",The Cambly app gives English learners instant 1-on-1 access to friendly native speakers over video chat 24/7. Students get an affordable and convenient way to practice their English and gain confidence. Tutors get to make money helping people from around the world practice English.,atlanta
Biocytogen,https://builtin.com/company/biocytogen,Biotech • Pharmaceutical,3 Offices,185 Employees,"Biocytogen provides integrated solutions for next-generation antibody drug development to the global biomedical communities. Powered by cutting-edge gene editing technologies and a state-of-the-art animal facility, Biocytogen developed a seamlessly integrated platform for efficient antibody drug discovery and validation, including animal model generation, therapeutic antibody discovery (via RenMab™ mice), and in vivo/in vitro preclinical validation studies. Biocytogen collaborates with more than...",atlanta
Akar Inti Teknologi,https://builtin.com/company/akar-inti-teknologi,Big Data • Fintech • Mobile • Productivity • Security • Software • Design,"DKI Jakarta, DKI Jakarta, IDN",180 Employees,"Akar Inti Teknologi (AIT) is a full-service software house in Jakarta. We help companies succeed in their digital transformation. We have built reliable, scalable solutions for reputable brands across verticals and business domains - from banking and financial services, all the way to loyalty, healthcare, lifestyle, and more. As a company, we equip and empower our people to excel in...",atlanta
Future Telecom,https://builtin.com/company/future-telecom,Other,United Arab Emirates,131 Employees,"Future provides innovative and high quality solutions in fixed and wireless services to the telecommunications industry. As part of its portfolio, it offers consultation, site acquisition, network optimization, fiber optics outsourcing and civil works among other services. As part of its portfolio, it offers site acquisition, network optimization and a host of other specialized telecom related services. Our end-to-end warehousing comprises...",atlanta
Inkit,https://builtin.com/company/inkit,Security • Cybersecurity,United States,53 Employees,"Inkit is your secure File Intelligence Platform, built to organize, search, and share your documents with ease. AI-powered document generation, digital signature, workflow automation, organization, storage, and search - all in one place. Inkit’s platform is designed for everyday use, even in the most regulated industries. Founded in 2019, Inkit is privately owned with offices in Saint Paul, Minnesota and San...",atlanta
Duncan Solutions,https://builtin.com/company/duncan-solutions,Automotive • Information Technology • Transportation,"Milwaukee, Wisconsin, USA",200 Employees,"Duncan Solutions is a full-service provider of parking, tolling, mobility and transportation management solutions to leading municipalities, transportation authorities, and commercial clients throughout North America. Our solutions include violation processing, DMV data management, secure transaction processing and debt collection services. Find open positions across our enterprise at https://businessprocessingsolutions.bamboohr.com/careers. Duncan Solutions is no longer affiliated with Duncan Parking Technologies, Inc. or the parking...",atlanta
Jiko,https://builtin.com/company/jiko,Financial Services,"San Francisco, California, USA",78 Employees,"Jiko is a revolutionary new financial network, enabling companies – from multinational corporations to startups – to both store and move money, starting with the power of T-bills, made spendable. Securely stored at the biggest custody bank in the country, cash is put directly into T-bills with on-demand liquidity. Jiko combines the stability of an established national bank with the...",atlanta
Tangram Flex,https://builtin.com/company/tangram-flex,Information Technology • Security • Software,"Dayton, Ohio, USA",79 Employees,"We're a software company with engineering tools for building flexible, trustworthy cyber-physical systems.",atlanta
GroundWidgets,https://builtin.com/company/groundwidgets,Software,"Paramus, New Jersey, USA",24 Employees,GroundWidgets is an elite technology company driven and managed by founding developers and technologists. GroundWidgets is exclusively focused on consulting and development of applications for the ground transportation industry harnessing the collective vision of its founders and their experience of over 25 years in the ground transportation industry. As companies search for ways to react to competition and a challenging...,atlanta
Goodfire,https://builtin.com/company/goodfire,Software • Generative AI,"San Francisco, California, USA",9 Employees,"Our mission is to advance humanity's understanding of AI by examining the inner workings of advanced AI models (or “AI Interpretability”). As a research-driven product organization, we bridge the gap between theoretical science and practical applications of interpretability. We're building critical infrastructure that empowers developers to understand, edit, and debug AI models at scale, ensuring the creation of safer and more...",atlanta
Eurostar,https://builtin.com/company/eurostar,Transportation,"London, England","2,559 Employees","At Eurostar, we're not just in the business of transportation, we're in the business of making your journeys across Europe unforgettable. Together, we want to create moments that stay with you throughout your travels and long after you've arrived, from the quick coffee run on the way to the station, to the moment you’ve arrived at your destination to sit...",atlanta
Persefoni,https://builtin.com/company/persefoni,Software,"Tempe, Arizona, USA",230 Employees,"Persefoni, Inc. is the leading Climate Management & Accounting Platform (CMAP). The company's Software-as-a-Service solutions enable enterprises and financial institutions to meet stakeholder and regulatory climate disclosure requirements with the highest degree of trust, transparency, and ease. As the ERP of Carbon, the Persefoni platform provides users a single source of carbon truth across their organization, enabling them to manage...",atlanta
thyssenkrupp,https://builtin.com/company/thyssenkrupp,Automotive • Industrial,3 Offices,"35,339 Employees","thyssenkrupp is an international industrial and technology company employing around 100,000 people. Across 48 countries it generated sales of €38 billion in fiscal 2022/2023. Since October 1, 2023, the business activities have been bundled into five segments: Automotive Technology, Decarbon Technologies, Materials Services, Steel Europe and Marine Systems. Backed by extensive technological know-how, the businesses develop cost-effective and resource-friendly solutions...",atlanta
GuideStar Eldercare,https://builtin.com/company/guidestar-eldercare,Healthtech,"Crown Point, Indiana, USA",48 Employees,"GuideStar Eldercare's mission is to enhance the quality of life for our patients by easing their suffering while actively promoting their safety, functionality, and dignity. GuideStar Eldercare provides neurobehavioral and psychiatric services to long-term care facilities in Indiana, Michigan, Texas, Kentucky, and Ohio.",atlanta
Kornit Digital,https://builtin.com/company/kornit-digital,3D Printing,2 Offices,744 Employees,"Kornit Digital (NASDAQ: KRNT) is a worldwide market leader in sustainable, on-demand, digital fashionx and textile production technologies. The company is writing the operating system for fashion with end-to-end solutions including digital printing systems, inks, consumables, and an entire global ecosystem that manages workflows and fulfillment. Headquartered in Israel with offices in the USA, Europe, and Asia Pacific, Kornit Digital...",atlanta
Pacific Life,https://builtin.com/company/pacific-life,Financial Services,"Newport Beach, California, USA","3,447 Employees","For more than 150 years, Pacific Life has helped millions of individuals and families with their financial needs through a wide range of life insurance products, annuities, and mutual funds, and offers a variety of investment products and services to individuals, businesses, and pension plans. Whether your goal is to protect loved ones or grow your assets for retirement, Pacific...",atlanta
Singapore Post,https://builtin.com/company/singapore-post,Logistics • Transportation,Singapore,"1,783 Employees","Singapore Post (SingPost) is a leading postal and eCommerce logistics provider in Asia Pacific. The portfolio of businesses spans from national and international postal services to warehousing and fulfilment, international freight forwarding and last mile delivery, serving customers in more than 220 global destinations. Headquartered in Singapore, SingPost has over 4,900 employees, with offices in 13 markets worldwide. Since its...",atlanta
Respondology,https://builtin.com/company/respondology,AdTech • Social Media • Software,"Boulder, Colorado, USA",48 Employees,"Respondology offers a solution for brands of all industries to safeguard their online reputation on social media platforms in real-time. Our technology strategically hides any toxic comments in 22 languages that could negatively impact their paid, organic, and influencer social marketing campaigns. Respondology is the only solution that combines a customizable filtering dashboard, generative AI, and human moderation to provide you...",atlanta
Analytic Solutions Group,https://builtin.com/company/analytic-solutions-group,Consulting,"Leesburg, Virginia, USA",6 Employees,"ASG provides decision advantage to government and commercial clients through advanced data analytics and visualization, operations research, and systems engineering support. Our analysts leverage years of industry and technical experience to support strategic planning and operational mission execution, with analysis tailored to meet the needs of the country's top decision makers",atlanta
Alternate Solutions Health Network,https://builtin.com/company/alternate-solutions-health-network,Healthtech,"Kettering, Ohio, USA",576 Employees,"We’re building partnerships and transforming care. Alternate Solutions Health Network was founded in 1999 by David and Tessie Ganzsarto. We collaborate with health systems in joint venture partnerships to create a post-acute care solution, delivering efficient centralized operations and utilizing a best-in-class software platform. Our company has been dedicated, since the very beginning, to transforming the quality of care for...",atlanta
NanoVation Therapeutics,https://builtin.com/company/nanovation-therapeutics,Biotech • Pharmaceutical,"Vancouver, British Columbia, CAN",45 Employees,"NanoVation Therapeutics is a pioneer in the design and creation of lipid nanoparticles (LNPs) for nucleic acid delivery. The company’s LNP technologies aim to overcome the limits of existing approaches to nucleic acid delivery, including the ability to target tissues outside the liver (extrahepatic delivery). NanoVation’s lead technology is its proprietary long-circulating LNP (lcLNP™) platform, which enables functional nucleic acid delivery...",atlanta
IKM TeckChek,https://builtin.com/company/ikm-teckchek,Information Technology • Professional Services,"Dana Point, California, USA",29 Employees,"IKM’s Knowledge Measurement solutions allow organizations to recruit superior candidates and evaluate the impact of training and education programs through software-based assessments. IKM TeckChek is a suite of assessments to provide a powerful, comprehensive and flexible solution for measuring knowledge of IT candidates and employees.",atlanta
PointClickCare,https://builtin.com/company/pointclickcare,Healthtech • Software,"Mississauga, Ontario, CAN","1,557 Employees","PointClickCare is the market leader driving the transformation of healthcare vulnerable and complex populations through a broad, connected care network powered by deep insights with a commitment to value, outcomes and innovation. We connect post-acute and acute care settings, people and systems like no other company. Our steadfast commitment to our culture and to providing growth opportunities to our employees is evidenced...",atlanta
Personified,https://builtin.com/company/personified,Information Technology • Cybersecurity,2 Offices,34 Employees,"We’re Personified, the IT + cybersecurity provider for impactful organizations. We provide mission-critical support for our clients' critical missions.",atlanta
Acrisure,https://builtin.com/company/acrisure,Fintech • Software • Financial Services,"Grand Rapids, Michigan, USA","3,983 Employees","Acrisure is a global Fintech leader that combines the best of humans and high tech to offer multiple financial products and services to millions of businesses and individual clients. We connect clients to solutions that help them protect and grow what matters, including Insurance, Reinsurance, Cyber Services, Mortgage Origination and more. Acrisure employs over 16,000 entrepreneurial colleagues in 21 countries...",atlanta
DatologyAI,https://builtin.com/company/datologyai,Artificial Intelligence • Software,"Redwood, California, USA",24 Employees,"DatologyAI builds tools to automatically select the best data on which to train deep learning models. Our tools leverage cutting-edge research-much of which we perform ourselves-to identify redundant, noisy, or otherwise harmful data points. The algorithms that power our tools are modality-agnostic-they’re not limited to text or images-and don’t require labels, making them ideal for realizing the next generation of...",atlanta
WeVideo,https://builtin.com/company/wevideo,Software,"Mountain View, California, USA",55 Employees,"WeVideo is the leading online video creation platform, providing editing, collaboration, and sharing capabilities across any device. Anyone can access WeVideo, from any computer or device at home, work, or on the go to capture, edit, view and share with secure storage of their content in the cloud.",atlanta
BREVIAN,https://builtin.com/company/brevian,Artificial Intelligence • Information Technology • Sales,"Sunnyvale, California, USA",9 Employees,"Brevian revolutionizes B2B enterprise sales through its sales intelligence platform powered by its custom-built knowledge engine. Unlike legacy sales tools that simply record conversations, issue transcripts, or perform basic data retrieval, Brevian deeply understands your customers' intent, your tech and sales processes by mapping relationships between pain points, product capabilities, use cases and successful selling strategies. Its intelligence layer empowers...",atlanta
Nortal,https://builtin.com/company/nearsure,Big Data • Blockchain • Software • Business Intelligence • App development • Big Data Analytics • Automation,"Tallin, Harjumaa, EST","2,800 Employees","We're a strategic innovation and technology company with an unparalleled track-record of delivering successful transformation projects for over 25 years. As a valued partner for governments, healthcare institutions, leading businesses, and Fortune 500 companies we deliver value by challenging the status quo and succeeding where legacy firms fail.",atlanta
BHG Financial,https://builtin.com/company/bhg-financial,Financial Services • Metaverse,2 Offices,"1,500 Employees","BHG Financial is transforming the financial industry; leveraging the power of data, analytics, and cutting-edge technology to become not only the number one source for professional loans, but also the creator of the largest community bank loan and product network in the country. Since 2001, BHG has originated more than $18.5 billion in loan solutions to top-quality borrowers, which community and...",atlanta
ON.energy,https://builtin.com/company/on-energy,Artificial Intelligence • Energy • Renewable Energy,3 Offices,165 Employees,"ON.energy is building the backbone of energy and AI infrastructure, powering grid-safe data centers and mission-critical facilities. The company supplies and operates hyperscale power systems that solve the toughest resilience challenges, delivering custom solutions for AI data centers, mission-critical facilities, and front-of-the-meter assets. Its track record spans industrial, manufacturing, infrastructure, transportation, and grid-scale storage. With patented technology and proprietary software,...",atlanta
Chicago White Sox,https://builtin.com/company/chicago-white-sox,Sports,"Chicago, Illinois, USA",856 Employees,"The Chicago White Sox are a Major League Baseball team owned by Jerry Reinsdorf. One of the American League's eight charter franchises, the Chicago team was established as a major league baseball club in 1900. The club was originally called the Chicago White Stockings.",atlanta
BeamNG,https://builtin.com/company/beamng,Gaming • Information Technology • Software,"Bremen, Bremen, DEU",70 Employees,"BeamNG GmbH is focused on the continuing development of its state-of-the-art soft-body physics engine capable of real-time simulation of vehicle dynamics and damage on consumer hardware. Our engine was first released in 2013 and is now widely available for entertainment and professional industrial simulation purposes. Used in our best known product, our vehicle game BeamNG.drive, the BeamNG physics engine also...",atlanta
American Coatings Association & PaintCare,https://builtin.com/company/american-coatings-association-paintcare,Chemical,"Washington, District of Columbia, USA",45 Employees,"ACA is a voluntary, nonprofit organization working to advance the needs of the paint and coatings industry and the professionals who work in it. Through advocacy of the industry and its positions on legislative, regulatory, and judicial issues at the federal, state and local levels, it acts as an effective ally ensuring that the industry is represented and fairly considered....",atlanta
BCAA,https://builtin.com/company/bcaa,Insurance,2 Offices,"1,184 Employees","Driven by our purpose to move British Columbians forward, BCAA (British Columbia Automobile Association) is a long-standing BC Top Employer (Mediacorp) and provides over 1 in 3 B.C. households with industry leading mobility and protection services including Membership, Insurance, Evo Car Share, Evolve E-Bike Share, BCAA Auto Marketplace and Auto Service. BCAA invests in programs and initiatives to make a positive impact...",atlanta
Daymark Health,https://builtin.com/company/daymark-health,Healthtech,"Philadelphia, Pennsylvania, USA",28 Employees,"Daymark Health is a cancer care company that partners with health plans to provide in-home and virtual supportive and wraparound care to patients with cancer in collaboration with their own oncologists. Our mission is to transform the cancer care experience by delivering personalized, world-class care when and where patients need it most. Our community-based team of nurses, nurse practitioners, social workers,...",atlanta
Compound Labs,https://builtin.com/company/compound-labs,Software,"San Francisco, California, USA",25 Employees,"The legacy financial system is slow, inefficient, and constrained by intermediaries. We’re on a mission to change that. Compound Labs is an open-source software development company building tools, products, and services for the decentralized finance (DeFi) ecosystem.",atlanta
Beamery,https://builtin.com/company/beamery,Artificial Intelligence • HR Tech • Software,4 Offices,420 Employees,"Beamery’s Talent Lifecycle Management platform empowers companies to understand the skills and capabilities they have, build more agile workforce plans, and attract, retain, upskill and redeploy their workforce. With Beamery, organizations are able to navigate change at speed, retain critical skill sets, foster DE&I and build the workforce of the future.",atlanta
Uniti AI,https://builtin.com/company/uniti-ai,Artificial Intelligence • Natural Language Processing • Real Estate • Sales • Software • Conversational AI,"New York, New York, USA",10 Employees,"Uniti AI is the AI-powered lead engagement and conversion platform used by real estate businesses. Our platform consolidates features like instant engagement, AI qualification, smart routing, automated follow-ups, and re-engagement campaigns to streamline lead management and improve conversions. We are revolutionizing how real estate operators engage leads, replacing slow, manual follow-ups with instant, AI-driven interactions that convert more leads, faster. If you...",atlanta
OLR,https://builtin.com/company/olr,Retail,"Minneapolis, Minnesota, USA",292 Employees,"OLR is a specialist Oracle Retail systems integrator delivering end-to-end omnichannel solutions to enable leading retailers to accelerate business success through system integration, automated regression testing, managed support and a set of in-house developed accelerators that help us to deliver projects quickly and in a scalable manner. OLR’s expertise and technology will help you build and optimize a powerful and...",atlanta
Shiro Technologies LLC,https://builtin.com/company/shiro-technologies-llc,Information Technology • Consulting,"Addison, Texas, USA",89 Employees,"Shiro Technologies is a service company that offers professional and top notch services. We pride ourselves in offering comprehensive and proficient services. We have specialized in web development, mobile app development, business process outsource, and software testing. Our Core Services include: Robotic Process Automation We can help you automate most of your company’s repetitive and routine processes to increase efficiency with...",atlanta
Robeauté,https://builtin.com/company/robeaute,Healthtech • Robotics,"Paris, Île-de-France, FRA",39 Employees,"Robeauté is pioneering a new class of therapeutic microrobots-engineered to diagnose, treat and monitor the brain with unprecedented flexibility and precision. We are a pluridisciplinary and multicultural team of passionate, supportive and creative people, at the crossroads of microrobotics, engineering and medicine. We are team players, with both classical and atypical backgrounds, so unconventional thinking is welcome and good communication...",atlanta
Remarcable,https://builtin.com/company/remarcable,Professional Services,"Cleveland, Ohio, USA",,"Remarcable's all-in-one platform streamlines operations for electrical contractors, offering comprehensive solutions for material management, tool and inventory management, and prefab requisition. Connecting field to offices. Integrating with 450+ suppliers and 25 software systems, it simplifies purchasing and financial processes, enabling contractors to focus on their core business while leveraging cutting-edge technology to boost productivity, and save on cost.",atlanta
Noise Labs,https://builtin.com/company/noise-labs,Marketing Tech • Software,"New York, New York, USA",7 Employees,"Movements in narrative define the world. At Noise, we believe in providing efficient markets for the intangible and untradeable. Noise is a programmatic liquidity platform for people to trade trends and narratives as assets. We combine efficient market mechanisms and real-time data to transform global narratives into new financial instruments.",atlanta
ignatiuz,https://builtin.com/company/ignatiuz,Information Technology • Software • Consulting,3 Offices,97 Employees,Ignatiuz is a modern software and services company offering state of the art technology solutions. The company is passionate about digital transformation and digital innovation. We are experts in modern digital transformation and robotic process automation. Our team of experienced consultants and developers helps businesses streamline their operations and stay ahead of the curve in the digital age. With a focus...,atlanta
Zeus Fire and Security,https://builtin.com/company/zeus-fire-and-security,Software,"Paoli, Pennsylvania, USA",90 Employees,"Zeus Fire & Security was established in 2021 to build a national network of fire protection and security providers recognized for execution excellence across a variety of service lines and end markets. Zeus addresses customer’s commercial and residential fire protection and security needs through a broad array of services from mission critical fire system installation, testing and inspection to physical...",atlanta
Tucker Company Worldwide,https://builtin.com/company/tucker-company-worldwide,Transportation,"Haddonfield, New Jersey, USA",82 Employees,"Tucker Company Worldwide is America’s oldest privately held freight broker. We specialize in critical and unique freight, like temperature-controlled; oversized; and high-value, high-security shipments. For more than 60 years, we’ve helped transportation professionals at some of the world’s top brands ensure the safe, on-time delivery of their shipments using carefully designed procedures, cutting-edge technologies, and award-winning service. We got our...",atlanta
Maskoid Technologies,https://builtin.com/company/maskoid-technologies,Software,"Vadodara, Gujarat, IND",44 Employees,Maskoid Technologies Pvt Ltd. Maskoid Technologies Pvt Ltd founded by Azad Shaikh with the help of a great Maskoid Team. We are a team of SEO and Internet Marketing professionals. We are geeks and ninja when its comes to SEO. We build websites and rank them in Google. We help many companies with their Internet Marketing campaigns. We manage an extensive...,atlanta
Elite Solutions,https://builtin.com/company/elite-solutions,Information Technology • Software,"Riyadh, Riyadh Province, SAU",27 Employees,"Elite Solutions, a Leading Provider of ERP solutions in the Kingdom of Saudi Arabia, was established in 2011 to provide an innovative Software Solution that meets the changing business needs in the region.",atlanta
Peoplevisor,https://builtin.com/company/peoplevisor,Software • Consulting,"Irving, Texas, USA",8 Employees,"WHAT WE DO, AND WHAT WE OFFER At Peoplevisor, we empower business leaders, employees, and HR professionals by aligning the work an organization needs with the capabilities that can deliver it most effectively. Consulting Services Our comprehensive range of human capital solutions, delivered by our talented team, tools, and methodologies, address the entire employee life-cycle. On-Demand Talent We have the knowledge, experience, and passion to...",atlanta
