name,builtin_url,sectors,location,employees,description,revenue_model,work_regime,primary_function,secondary_function,is_michigan_hq
Edmunds,https://builtin.com/company/edmunds,AdTech • Automotive • Big Data • Consumer Web,"Santa Monica, California, USA",500 Employees,"At Edmunds, we’re driven to make car buying easier. Ever since we began publishing printed car guides in the 60's, the company has been in the business of trust, innovating ways to empower and support car shoppers. When Edmunds launched the car industry’s first website in 1995, we established a leadership position online and have never looked back.",Advertising,Corporate Agile,Media,Tool,no
Cin7,https://builtin.com/company/cin7,Cloud • eCommerce • Logistics • Software,6 Offices,276 Employees,"Cin7 connects your channels, inventory and accounting together. It dramatically reduces the cost of selling products across multiple channels, and opens up exciting new opportunities for product sellers. We're built on innovation, trust & collaboration, and a passion to see our customers thrive.",Subscription,Startup/Venture,Tool,Bureaucracy,no
Dynatrace,https://builtin.com/company/dynatrace,Artificial Intelligence • Big Data • Cloud • Information Technology • Software • Big Data Analytics • Automation,37 Offices,"5,200 Employees","Dynatrace lets customers understand their business like never before, so they can see beyond the complexity, find and fix problems faster and automate manual tasks with Al — so they can focus on what truly matters: running their business.",Subscription,Startup/Venture,Tool,Bureaucracy,no
Navan,https://builtin.com/company/navan,Fintech • Information Technology • Payments • Productivity • Software • Travel • Automation,16 Offices,"3,300 Employees","Navan (Nasdaq: NAVN) is the leading all-in-one business travel, payments, and expense management platform that makes travel easy for frequent travelers. From finding flights and hotels to automating expense reconciliation, with 24/7 support along the way, Navan delivers an intuitive experience travelers love and finance teams rely on. See how Navan customers benefit and learn more at navan.com.",Subscription,Startup/Venture,Tool,Bureaucracy,no
Bitnomial,https://builtin.com/company/bitnomial,Blockchain • Fintech • Software • Financial Services • Cryptocurrency • Web3,"Chicago, Illinois, USA",26 Employees,"Bitnomial is building the next generation of U.S. derivatives infrastructure. We are a regulated exchange and clearinghouse offering bitcoin futures and options under full oversight of the CFTC. By combining the transparency and safeguards of traditional finance with the efficiency of digital assets, Bitnomial brings institutional trust and accessibility to crypto-native markets. We operate as a Designated Contract Market (DCM), Derivatives...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Rula,https://builtin.com/company/rula,Healthtech • Other • Social Impact • Software • Telehealth,"Fully Remote, USA",595 Employees,"We believe that when access to quality mental healthcare improves, patients, providers, and payers all benefit. And that’s why we’re on a mission to make mental healthcare work for everyone. We remove barriers and strengthen connection points between patients, providers, and payers to improve mental health outcomes. With Rula, it’s easy for patients to find a high-quality therapist or psychiatric...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Enverus,https://builtin.com/company/enverus,Big Data • Information Technology • Software • Analytics • Energy,15 Offices,"1,800 Employees","Enverus’ innovative technologies drive production and investment strategies, enable best practices for energy and commodity trading and risk management, and reduce costs through automated processes across critical business functions. Enverus is a strategic partner to more than 6,000 customers in 50 countries. Enverus is a portfolio company of Hellman & Friedman and Genstar Capital.",Subscription,Startup/Venture,Tool,Bureaucracy,no
LogicGate,https://builtin.com/company/logicgate,Cloud • Information Technology • Security • Software,2 Offices,202 Employees,"LogicGate® is the leading AI GRC platform for the Enterprise, helping governance, risk, and compliance teams limit surprises, strengthen resilience, augment program performance, and confidently quantify impact and business value. Built to provide a centralized view of risk and compliance, with AI intelligence woven into the platform's core, LogicGate delivers real-time insights and actionable data to help drive current business...",Subscription,Startup/Venture,Bureaucracy,Tool,yes
ARB Interactive,https://builtin.com/company/arb-interactive,Gaming • Software,"Fully Remote, USA",175 Employees,"ARB Interactive is the team behind Modo Casino, one of the top Social+ gaming platforms in the U.S. Founded in 2022, we build technology-driven gaming and sweepstakes experiences that reach millions of users, and we're just getting started. We move fast, think big, and genuinely love what we do. Our culture is collaborative, curious, and built on the belief that great...",Advertising,Startup/Venture,Media,None,no
MassMutual,https://builtin.com/company/massmutual-5,Big Data • Fintech • Information Technology • Insurance • Financial Services,3 Offices,"6,000 Employees","Since 1851, MassMutual’s commitment has always been to help people protect their families, support their communities, and help one another. This is why we want to inspire people to Live Mutual. We’re people helping people. Together, we’re stronger.",Licensing,Corporate Agile,Bureaucracy,Tool,no
Fusion Risk Management,https://builtin.com/company/fusion-risk-management,Professional Services • Software,2 Offices,258 Employees,"Fusion Risk Management is recognized as the most innovative and fastest growing provider of cloud-based enterprise software for business continuity risk management, IT disaster recovery and crisis management. Fusion is transforming the industry and has been named a leader in Gartner's Magic Quadrant for Business Continuity Management software.",Subscription,Startup/Venture,Bureaucracy,Tool,no
Scratch Financial,https://builtin.com/company/scratch-financial,Fintech • Financial Services,"Fully Remote, USA",125 Employees,"Scratch is a dynamic and innovative fintech company at the forefront of patient lending and payment processing, serving a network of over 15,000 healthcare practices across the United States and Canada. Our mission is to revolutionize the veterinary financial experience, ensuring pet parents have seamless access to the treatments they need without the burden of financial stress.",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Apex Fintech Solutions,https://builtin.com/company/apex-fintech-solutions,Fintech • Software • Financial Services,7 Offices,"1,000 Employees","Apex Fintech Solutions provides the tools and services that enable hundreds of clients to launch, scale, and support digital investing for tens of millions of end investors. The company provides essential infrastructure and a comprehensive ecosystem of cloud-based products to enable and streamline trading, wealth management, cost basis, tax reporting, and, through its subsidiary Apex Clearing™, custody and clearing. For...",Mixed,Startup/Venture,Bureaucracy,Tool,no
Locusview,https://builtin.com/company/locusview,Enterprise Web • Logistics • Mobile • Software • Energy • Utilities,"Chicago, Illinois, USA",150 Employees,"At Locusview, we help utilities control and optimize their capital projects while preparing for the coming challenges of building smarter infrastructure. This is why we built the world’s best Digital Construction Management (DCM) platform that helps energy, telecom and water utilities manage large scale construction projects from Planning to Revenue. We are fast-paced, and expect employees to use their creativity...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Peaksware,https://builtin.com/company/peaksware,Fitness • Music • Software,"Louisville, Colorado, USA",256 Employees,"THE PEAKSWARE COLLECTIVE What do athletes and musicians have in common? A lot, actually. They both chase a “next.” They both practice like it’s not practice. They both fine tune their physical and mental beings. They both get a rush from a new mastery, no matter how incremental. And they both co-exist creatively and collaboratively as members of the Peaksware companies. Each...",Subscription,Startup/Venture,Tool,Media,no
Toast,https://builtin.com/company/toast,Cloud • Fintech • Food • Information Technology • Software • Hospitality,7 Offices,"5,000 Employees","Toast is the all-in-one platform built for restaurants of all sizes. Toast provides a single platform of software as a service (SaaS) products and financial technology solutions that give restaurants everything they need to run their business, including point of sale, payments, supplier management, digital ordering and delivery, marketing and loyalty, and team management. By serving as the restaurant operating...",Subscription,Startup/Venture,Bureaucracy,Tool,no
Definitive Healthcare,https://builtin.com/company/definitive-healthcare,Big Data • Healthtech • Software,3 Offices,900 Employees,"We’re a healthcare technology company that provides industry-leading intelligence on the healthcare provider market. Why do we do it? Because understanding provider landscapes, identifying opportunities, and reaching the right points of contact can be difficult to do in a constantly changing market. But it doesn’t have to be. Our comprehensive data platform reduces market complexity and streamlines physician and facility...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Red 6,https://builtin.com/company/red-6,Aerospace • Hardware • Software • Virtual Reality • Defense,3 Offices,186 Employees,"Red 6 is an innovative Augmented Reality (AR) technology startup leading the way in synthetic air combat training. Our primary technology, supporting our ATARS product, enables pilots to simulate the cognitive challenges of flying while accessing realistic, scalable training in dynamic outdoor environments",Licensing,Startup/Venture,Tool,Bureaucracy,no
Agora RE,https://builtin.com/company/agora-re,Fintech • Real Estate • PropTech,3 Offices,200 Employees,"We’re a team of bold thinkers, innovators, and real estate enthusiasts who believe complex processes should feel simple. Our platform combines modern technology with expert services, helping our customers raise more capital, deliver a better investor experience, and scale their businesses smarter. Agora is backed by top-tier VCs like Insight Partners and Qumra Capital, and we’re growing fast. We’ve been named...",Mixed,Startup/Venture,Bureaucracy,Tool,no
Ahold Delhaize USA,https://builtin.com/company/ahold-delhaize-usa,AdTech • eCommerce • Food • Marketing Tech • Retail,7 Offices,"10,000 Employees","Ahold Delhaize USA, a division of global food retailer Ahold Delhaize, is part of the U.S. family of brands, which includes five leading omnichannel grocery brands – Food Lion, Giant Food, The GIANT Company, Hannaford and Stop & Shop. Our associates support the brands with a wide range of services, including Finance, Legal, Sustainability, Commercial, Digital and E-commerce, Technology and...",Mixed,Corporate Agile,Bureaucracy,Media,no
Comcast,https://builtin.com/company/comcast-3,Digital Media • Information Technology • News + Entertainment,2 Offices,"10,000 Employees","Welcome to Comcast. From the connectivity and platforms we provide to the content and experiences we create, we bring people together, globally. Our people think the world of our work, and that’s why our work is the best in the world.",Mixed,Corporate Agile,Media,Tool,no
Adyen,https://builtin.com/company/adyen,Fintech • Payments • Financial Services,16 Offices,"4,568 Employees","Adyen (ADYEN:AMS) is the financial technology platform of choice for leading companies. By providing end-to-end payments capabilities, data-driven insights, and financial products in a single global solution, Adyen helps businesses achieve their ambitions faster. With offices around the world, Adyen works with the likes of Meta, Uber, H&M, eBay, and Microsoft.",Transaction fees,Corporate Agile,Bureaucracy,Tool,no
Arm,https://builtin.com/company/arm,Artificial Intelligence • Internet of Things • Semiconductor,10 Offices,"8,314 Employees","We bring brilliant people together in a global ecosystem that is sparking the world’s potential. Arm technology enables specialized processing built on the economics, design freedom and accessibility of general-purpose compute that has, so far, led to more than 180 billion chips being shipped by our partners.",Licensing,Corporate Agile,Tool,None,no
Applied Systems,https://builtin.com/company/applied-systems,Cloud • Insurance • Payments • Software • Business Intelligence • App development • Big Data Analytics,12 Offices,"3,040 Employees","Transforming the insurance industry is ambitious, we know. That’s why at Applied, we’re building a team that shows up every day ready to learn, willing to try new things, and driven to deliver innovative software and services that make us indispensable to our customers – all within a culture built on values that make us indispensable to each other, too....",Subscription,Startup/Venture,Tool,Bureaucracy,no
Catalant Technologies,https://builtin.com/company/catalant-technologies,HR Tech • Software • Consulting,"Boston, Massachusetts, USA",85 Employees,"Catalant, the pioneer of Consulting 2.0, has helped the biggest and best companies use independent consultants for their most important work for over 10 years. More than 30% of the Fortune 500, top PE firms, and leading consultancies partner with Catalant to gain access to highly skilled, experienced business professionals who’ve solved their exact problems before. Over 100k talented independent...",Transaction fees,Outsourcing,Bureaucracy,Tool,no
Apollo.io,https://builtin.com/company/apolloio,Artificial Intelligence • Enterprise Web • Information Technology • Productivity • Sales • Software • Database,4 Offices,850 Employees,"Apollo is a $1.6B AI-powered sales platform that helps revenue teams find and engage leads, automate outreach, manage deals, and enrich data — all in one place. Known for its industry-leading B2B database of more than 210 million contacts and 35 million companies, Apollo’s end-to-end platform helps businesses of all sizes unlock their full market potential with unparalleled precision and...",Subscription,Startup/Venture,Tool,Bureaucracy,no
True Anomaly,https://builtin.com/company/true-anomaly,Aerospace • Artificial Intelligence • Hardware • Machine Learning • Software • Defense • Manufacturing,4 Offices,250 Employees,"Space was once the quietest place in the universe. Now, it's crowded, contested, and confrontational.  We are True Anomaly: the only defense company focused exclusively on space defense. Founded in 2022 by ex-U.S. Space Force members, True Anomaly designs and builds advanced systems for space superiority: agile and powerful spacecraft platforms, mission software engineered for unmatched command and control, and payloads...",Hardware sales,Startup/Venture,Tool,Bureaucracy,no
NinjaOne,https://builtin.com/company/ninjaone,Information Technology • Productivity • Software • Infrastructure as a Service (IaaS),4 Offices,"2,000 Employees","NinjaOne, the automated endpoint management platform, delivers visibility, security, and control over all endpoints for more than 30,000 customers in 130+ countries. The cloud-native NinjaOne platform simplifies endpoint management, patching, and visibility for environments at any scale. It is proven to increase productivity, reduce security risk, and lower costs.",Subscription,Startup/Venture,Tool,Bureaucracy,no
HCSS,https://builtin.com/company/hcss,Software,"Sugar Land, Texas, USA",589 Employees,"Since 1986, HCSS been developing software to help construction companies streamline their operations. Today, HCSS is recognized as a pioneer and leader in the market, serving thousands of construction companies across the nation. Year after year, they continue to innovate, refine, and expand their products as the industry evolves. HCSS'​ mission is to help customers dramatically improve their business through innovative,...",Subscription,Corporate Agile,Tool,Bureaucracy,no
Avant,https://builtin.com/company/avant,Fintech • Software • Financial Services,"Chicago, Illinois, USA",250 Employees,"Our mission is to move financial lives forward. We utilize data and technology to connect everyday Americans to financial solutions, empowering our customers to achieve their financial goals and build financial health. We are a data-driven platform at the intersection of technology and credit*, built to meet the financial needs of millions of middle-income Americans. We use data and machine learning...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
HERE Technologies,https://builtin.com/company/here,Artificial Intelligence • Automotive • Computer Vision • Information Technology • Internet of Things • Logistics • Software,19 Offices,"6,000 Employees","HERE Technologies is a location data and technology company that created the first digital map over 35 years ago. Today we are the world's leading location platform company with a global footprint across 52 countries. Although our strongest presence is in the automotive industry, we also work with leading companies across a wide range of industries, including transport and logistics,...",Licensing,Corporate Agile,Tool,Bureaucracy,no
PRIMA,https://builtin.com/company/prima-1,eCommerce • Marketing Tech • Software • Travel • Hospitality,"Fully Remote, USA",15 Employees,"PRIMA is revolutionizing hospitality as a pioneering affiliate marketplace, forging direct connections between high-value diners and premium restaurants through a network of empowered partners. We address inefficiencies like hard-to-get reservations and untapped hotel guest traffic by curating exclusive inventory and rewarding affiliates for referrals. Our platform enables hotels, concierges, residencies, and corporations to monetize their audiences, creating win-win dynamics where...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Sittercity,https://builtin.com/company/sittercity,Kids + Family • Software,"Fully Remote, USA",46 Employees,"Sittercity, a Bright Horizons company, is a technology platform working to reimagine the child care industry. Finding, hiring and managing high-quality, trustworthy and enriching child care has never been simple, for parents or caregivers. We want to change that. At Sittercity, you can imagine and create solutions that will revolutionize a multi-billion industry and bring relief to parents and care...",Transaction fees,Corporate Agile,Bureaucracy,Tool,no
RapDev,https://builtin.com/company/rapdev,Information Technology • Productivity • Professional Services • Software,"Boston, Massachusetts, USA",130 Employees,"We help customers of all sizes transform into true DevOps organizations. We've taken several customers from deploying applications once a month to hundreds of times a day. We're a team of experienced ServiceNow Wizards and passionate SRE's contributing to the open-source community, who have built multiple enterprise-scale CI/CD pipelines and integrations to help your organization build velocity in your release...",Services,Startup/Venture,Tool,Bureaucracy,no
Possible Finance,https://builtin.com/company/possible-finance,Consumer Web • Fintech • Mobile • Social Impact • Software,"Seattle, Washington, USA",130 Employees,"Possible Finance is a mission-driven fintech company focused on expanding financial access and improving financial health for the millions of Americans who struggle with traditional banking and credit systems. Our products are designed for customers who often live paycheck to paycheck, face unpredictable cash flow, or lack access to affordable credit—customers who are routinely ignored, penalized, or underserved by mainstream...",Subscription,Startup/Venture,Bureaucracy,Tool,no
Canoe,https://builtin.com/company/canoe,Artificial Intelligence • Fintech • Information Technology • Machine Learning • Financial Services,3 Offices,180 Employees,"Canoe offers first-of-its kind AI technology powering the future of alternative investments. Canoe has reimagined the future of alternative investments with cloud-based, machine-learning technology for document collection, data extraction, and data science initiatives. We transform complex documents into actionable intelligence within seconds and empower allocators with tools to unlock new efficiencies for their business. Since the beginning, we’ve maintained a focused, client-first...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Britebound,https://builtin.com/company/american-studen-assistance,Edtech • Social Impact • Software,"Boston, Massachusetts, USA",100 Employees,"Britebound is changing the way kids learn about careers and navigate postsecondary pathways through exploration, work-based learning, and free digital experiences. We meets students both in and beyond the classroom with digital tools, resources, and information to empower their career planning journeys. We believe that exploring career possibilities, as early as middle school, and having equitable access to education-to-career pathways aligned...",Mixed,Startup/Venture,Tool,Media,no
Jellyfish,https://builtin.com/company/jellyfish,Big Data • Cloud • Productivity • Software • Database • Analytics • Automation,"Boston, Massachusetts, USA",225 Employees,"Jellyfish is the leading Software Engineering Intelligence Platform, helping more than 500 companies including DraftKings, Keller Williams and Blue Yonder, leverage Al to transform how they build software. By turning fragmented data into context-rich guidance, Jellyfish enables better decision-making across Al use adoption, planning, developer experience and delivery so R&D teams can deliver stronger business outcomes.",Subscription,Startup/Venture,Tool,Bureaucracy,no
AMP,https://builtin.com/company/amp-robotics,Artificial Intelligence • Computer Vision • Greentech • Machine Learning • Robotics • Industrial • Automation,3 Offices,170 Employees,"AMP is applying AI-powered sortation at scale to modernize the world's recycling infrastructure and maximize the value in waste. AMP gives waste and recycling leaders the power to harness AI to reduce labor costs, increase resource recovery, and deliver more reliable operations. With hundreds of deployments across North America, Asia, and Europe, AMP’s technology offers a transformational solution to waste...",Mixed,Startup/Venture,Tool,None,no
OppFi,https://builtin.com/company/oppfi,Fintech • Social Impact • Financial Services,"Fully Remote, USA",450 Employees,"OppFi is a leading tech-enabled digital finance platform that works with banks to provide financial products and services for everyday Americans. Through a transparent and responsible platform, which includes financial inclusion and excellent customer experience, the Company supports consumers who are turned away by mainstream options to build better financial health. OppFi maintains an A+ rating from the Better Business Bureau...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Commerce,https://builtin.com/company/commerce,Artificial Intelligence • Cloud • Consumer Web • eCommerce • Information Technology • Software,5 Offices,"1,200 Employees","Commerce (Nasdaq: CMRC) empowers businesses to innovate, grow, and thrive through an open, AI-driven commerce ecosystem. As the parent company of BigCommerce, Feedonomics, and Makeswift, we help brands unlock the full potential of their data, connect systems, and deliver seamless, personalized experiences across every channel. Visit commerce.com or follow us for more. #PoweredByCommerce",Subscription,Corporate Agile,Tool,Bureaucracy,no
"Charted, Inc.",https://builtin.com/company/charted-inc,Artificial Intelligence • Fintech • Payments • Software • Consulting • Financial Services • Automation,"Boston, Massachusetts, USA",72 Employees,"Charted clears the path for finance teams with AP Automation solutions built directly into your NetSuite environment—no integrations, no extra systems. Gain real-time clarity on every invoice, approval, and payment so you can focus on what really matters. Eliminate manual data entry with AI-powered capabilities and expense accrual automation to accelerate your month-end close. Combine the power of your full...",Subscription,Startup/Venture,Bureaucracy,Tool,no
GameChanger,https://builtin.com/company/gamechanger,Computer Vision • Digital Media • Kids + Family • Mobile • Software • Sports,"Fully Remote, USA",260 Employees,"We believe in the life-changing impact youth sports have on and off the field because they encourage leadership, teamwork, responsibility, and confidence—important life lessons that have the power to propel our youth toward meaningful futures. We recognize that without coaches, parents, and volunteers, organized youth sports could not exist. By building the first and best place to experience the youth...",Mixed,Startup/Venture,Media,Tool,no
AcuityMD,https://builtin.com/company/acuitymd,Healthtech • Software,"Fully Remote, USA",213 Employees,"AcuityMD is the intelligence platform for the MedTech industry. More than 300 MedTech companies – including six of the top 10 – use AcuityMD to identify target markets, surface top opportunities, and grow their business. With customers ranging from pre-commercial to enterprise, AcuityMD is committed to delivering the right insights so companies can understand where and how to sell faster...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Revivn,https://builtin.com/company/revivn,Greentech • Information Technology • Social Impact • Software,2 Offices,120 Employees,"Revivn is a fully integrated hardware lifecycle solution, promoting global responsibility while providing IT with enterprise-class service and security. Working with companies like Instacart, Lyft & Teach for America we are changing the way companies view old technology with a new model that focuses on repurposing electronics. In partnering with Revivn, companies make the vital choice to responsibly retire, repurpose,...",Services,Startup/Venture,Bureaucracy,Tool,no
8am (Formerly AffiniPay),https://builtin.com/company/8am,Software,5 Offices,575 Employees,"At 8am, our vision is to power a world where professionals thrive. We start every day on a mission to empower professionals with the most trusted, innovative technology to deliver world-class outcomes for their clients and exceptional financial results for their business. They count on our purpose-built solutions to simplify operations, ensure compliance, and fuel profitable growth, so they can...",Subscription,Startup/Venture,Bureaucracy,Tool,no
Scotch,https://builtin.com/company/scotch,Artificial Intelligence • eCommerce • Fintech • Payments • Retail • Software • Analytics,United States,25 Employees,"From neighborhood stores to destination warehouses, liquor retailers of all sizes have been held back by manual tasks, slow systems and limited business intelligence. So we decided to build something better — smarter software that saves time and improves margins so independent retailers could focus on their customers, not manually managing inventory.",Subscription,Startup/Venture,Tool,Bureaucracy,no
Vantor,https://builtin.com/company/vantor,Aerospace • Artificial Intelligence • Computer Vision • Software • Analytics • Defense • Big Data Analytics,17 Offices,"2,500 Employees","Vantor is forging the new frontier of spatial intelligence to unlock a more autonomous, interoperable world. We empower decision makers and operators with the clarity they need to navigate what’s happening now and shape what’s coming next. Our AI-powered spatial intelligence platform fuses data from the world’s highest-resolution satellites with real-time sensor feeds from space, air, and ground to create...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Hebbia,https://builtin.com/company/hebbia-ai,Artificial Intelligence • Machine Learning • Natural Language Processing • Software • Financial Services • Generative AI,3 Offices,120 Employees,"Founded in 2020 by George Sivulka and backed by Peter Thiel and Andreessen Horowitz, Hebbia powers investment decisions for BlackRock, KKR, Carlyle, Centerview, and 40% of the world’s largest asset managers. Our flagship product, Matrix, delivers industry-leading accuracy, speed, and transparency in AI-driven analysis. It is trusted to help manage over $15 trillion in assets globally. We deliver the intelligence that...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Capital One,https://builtin.com/company/capital-one,Fintech • Machine Learning • Payments • Software • Financial Services,14 Offices,"55,000 Employees","At Capital One, we think and work like a tech company, using our digital fluency to transform everything about the customer experience. We’re bending data to our will, and turning a stodgy industry on its head. That’s reflected in our ranking as the number one business technology innovator in the U.S. in the 2016 InformationWeek Elite 100.",Mixed,Corporate Agile,Bureaucracy,Tool,no
Cedar,https://builtin.com/company/cedar,Artificial Intelligence • Fintech • Healthtech • Software,"Fully Remote, USA",420 Employees,"Cedar is the AI-powered healthcare financial experience platform, built for the rising cost and complexity of healthcare payments. We help millions of people every year understand and resolve their medical bills with clarity and compassion, while helping healthcare organizations operate more efficiently. We’re combining AI, smart design, and empathy to fix one of healthcare’s most urgent crises.",Subscription,Startup/Venture,Bureaucracy,Tool,no
Zscaler,https://builtin.com/company/zscaler,Cloud • Information Technology • Security • Software • Cybersecurity,32 Offices,"8,697 Employees","Zscaler accelerates digital transformation so our customers can be more agile, efficient, resilient, and secure. Our cloud native Zero Trust Exchange platform protects thousands of customers from cyberattacks and data loss by securely connecting users, devices, and applications in any location.",Subscription,Startup/Venture,Bureaucracy,Tool,no
Granica,https://builtin.com/company/granica,Artificial Intelligence • Big Data • Cloud • Machine Learning • Software • Business Intelligence • Data Privacy,2 Offices,37 Employees,"Massive-scale data should be an asset — not a liability. At Granica, we’re building a state-of-the-art AI efficiency, data optimization and compression platform designed to make cloud-scale data cheaper, faster, safer and more intelligent. As enterprises generate and store unprecedented volumes of data, traditional infrastructure can’t keep up — costs explode, performance lags, and privacy becomes harder to enforce. Granica changes...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Wells Fargo,https://builtin.com/company/wells-fargo,Fintech • Financial Services,12 Offices,"205,000 Employees","Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $2.1 trillion in assets. We provide a diversified set of banking, investment and mortgage products and services, as well as consumer and commercial finance, through our four reportable operating segments: Consumer Banking and Lending, Commercial Banking, Corporate and Investment Banking, and Wealth & Investment Management....",Mixed,Corporate Agile,Bureaucracy,Tool,no
Spark Advisors,https://builtin.com/company/spark-advisors,Healthtech • Insurance • Other • Sales • Software,"Fully Remote, USA",123 Employees,"Spark partners with local independent agents to deliver clients a concierge experience for addressing all their retirement needs. The vast majority of beneficiaries select benefits with the help of an independent broker, but technology and support for brokers is woefully antiquated. We provide workflows and services to help brokers achieve transformative growth.",Services,Startup/Venture,Tool,Bureaucracy,no
Analytics8,https://builtin.com/company/analytics8,Big Data • Cloud • Information Technology • Analytics • Business Intelligence • Consulting • Data Privacy,3 Offices,200 Employees,"We help companies translate their data into meaningful and actionable information so they can stay ahead in a rapidly changing world.   We know data and analytics can be complicated and overwhelming. But data and analytics is all we do, and we are here to guide you through the complexities - so you can make sense of your data and use it...",Services,Outsourcing,Tool,Bureaucracy,no
Arity,https://builtin.com/company/arity,Big Data • Transportation • Analytics • Big Data Analytics,"Fully Remote, USA",345 Employees,"Founded by The Allstate Corporation in 2016, Arity is a mobility data and analytics company focused on improving transportation. We collect and analyze trillions of miles of driving data, using predictive analytics to build solutions with a single goal in mind: to make transportation smarter, safer and more useful for everyone.",Licensing,Corporate Agile,Tool,Bureaucracy,no
Intellistack,https://builtin.com/company/intellistack,Artificial Intelligence • Healthtech • Productivity • Software • Automation,7 Offices,203 Employees,"Intellistack is a secure workplace productivity platform built to produce ingenious solutions to the everyday work that slow organizations down. From eliminating paper forms to breaking digital silos, Intellistack empowers anyone to quickly and easily build custom forms, create documents, and collect eSignatures—all without any specialized skills or coding. Launched in 2006, Intellistack is trusted by more than 25,000 organizations...",Subscription,Startup/Venture,Tool,Bureaucracy,no
CertifID,https://builtin.com/company/certifid,Legal Tech • Real Estate • Security • Software • Cybersecurity • PropTech,2 Offices,130 Employees,"CertifID helps to create a world without wire fraud. Started after our co-founder was hit by fraud – we’re the only company dedicated to fighting fraud for the real estate industry with an identity verification SaaS platform, insurance, and proven recovery services. CertifID helps safeguard billions of dollars every month from fraud and provides peace of mind with direct insurance...",Mixed,Startup/Venture,Bureaucracy,Tool,no
"Riot Platforms, Inc.",https://builtin.com/company/riot-4,Cloud • Information Technology • Energy • Infrastructure as a Service (IaaS),4 Offices,800 Employees,"Riot’s vision is to be the world’s most trusted platform for powering and building digital infrastructure. Riot’s mission is to empower the future of digital infrastructure by positively impacting the sectors, networks, and communities that we touch. We believe that the combination of an innovative spirit and strong community partnership allows the Company to achieve best-in-class execution and create successful...",Usage-based,Startup/Venture,Tool,None,no
FloQast,https://builtin.com/company/floqast,Artificial Intelligence • Fintech • Software,5 Offices,800 Employees,"By automating and streamlining common accounting workflows to make them more efficient, FloQast is where accounting teams want to work so they can focus on what matters most, even when that’s just logging off on time. Whether automating reconciliations, documentation requests, or streamlining recurring accounting processes, such as the month-end close, financial reporting, or payroll, FloQast's platform enhances the way...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Nourish,https://builtin.com/company/nourish,Healthtech • Software • Telehealth,"New York, New York, USA",215 Employees,"Nourish is on a mission to improve people’s health by making it easy to eat well. Nutrition-related chronic disease is the largest and most overlooked crisis in the world. Food can be medicine: working with a Registered Dietitian is one of the most effective interventions available, but <1% of eligible Americans use their covered benefits. Nourish is building an AI-native,...",Subscription,Startup/Venture,Tool,Media,no
BlackRock,https://builtin.com/company/blackrock,Fintech • Information Technology • Financial Services,30 Offices,"25,000 Employees","As the world’s largest asset manager, BlackRock partners with investors around the globe to help them (and those on whose behalf they invest) plan for life’s most important goals – like retirement, home ownership and their children’s education. Our clients range from governments, foundations and other large institutions to those investing on behalf of individuals, including firefighters, nurses, teachers and...",Mixed,Corporate Agile,Bureaucracy,Tool,no
Cohere Health,https://builtin.com/company/cohere-health,Healthtech • Software,2 Offices,900 Employees,"Cohere Health’s clinical intelligence platform delivers AI-powered solutions that streamline access to quality care by improving payer-provider collaboration, cost containment, and healthcare economics. Cohere Health works with over 660,000 providers and handles over 12 million prior authorization requests annually. Its responsible AI auto-approves up to 90% of requests for millions of health plan members. With the acquisition of ZignaAI, we’ve further...",Subscription,Startup/Venture,Bureaucracy,Tool,no
Pluralsight,https://builtin.com/company/pluralsight,Edtech • Information Technology • Software,2 Offices,"1,300 Employees","Pluralsight provides the only learning platform dedicated to accelerating the technology skills and capabilities of today’s tech workforce. Thousands of companies, government organizations, and individuals around the world rely on Pluralsight to support critical technology skill development in areas that are crucial to innovation, including artificial intelligence, cloud computing, cybersecurity, software development, and machine learning. Pluralsight offers highly curated content...",Subscription,Startup/Venture,Media,Tool,no
Snyk,https://builtin.com/company/snyk,Artificial Intelligence • Cloud • Information Technology • Security • Software • Cybersecurity • Data Privacy,11 Offices,"1,000 Employees","Snyk, the leader in secure AI software development, empowers organizations to build fast and stay secure by unleashing developer productivity and reducing business risk. The company’s AI Trust Platform seamlessly integrates into developer and security workflows to accelerate secure software delivery in the AI Era. Snyk delivers trusted, actionable insights and automated remediation, enabling modern organizations to innovate without limits....",Subscription,Startup/Venture,Tool,Bureaucracy,no
